id,zip,stratum2,psu,ssu,wsel,wr,wave,qtype,year,year_m,sd,shour,smin,gender,birth_year,religion,before15_place_code,before15_place,marriage,edu,pre_ele_97,pre_ele_101,political_party,taiwanese_or_chinese,taiwan_indep,month_income,month_spouse_income,mothe_house_income
1040105,"台北市中山區","都會核心",4,2,.78120342,1.1680326,"0603","卷二",2012,101,15aug2012,"20","08","男",75,"沒有宗教信仰","新北市汐止區","新北市(跳答a7b)","單身且從沒結過婚(跳答a15)","高職(續答b2)","沒有去投票","沒有去投票(跳答f8)","都差不多","台灣人","永遠維持現狀","2-3萬元以下","跳答,不適用","7-8萬元以下"
1040107,"台北市中山區","都會核心",4,2,.78120342,1.0031557,"0603","卷二",2012,101,07aug2012,"19","13","男",45,"沒有宗教信仰","台北市中山區","台北市(續答a7a)","已婚有偶(續答a11)","高職(續答b2)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","維持現狀,以後走向獨立","沒有工作","沒有工作","拒答"
1040110,"台北市中山區","都會核心",4,2,.78120342,.78779019,"0603","卷二",2012,101,01aug2012,"20","37","男",37,"佛教","南投縣南投市","南投縣(跳答a7i)","已婚有偶(續答a11)","三專(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","永遠維持現狀","沒有工作","沒有工作","5-6萬元以下"
1040111,"台北市中山區","都會核心",4,2,.78120342,1.0219873,"0603","卷二",2012,101,05aug2012,"19","07","女",45,"民間信仰","基隆市","基隆市(跳答a7c)","已婚有偶(續答a11)","國(初)中(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都不是","永遠維持現狀","有工作,但沒有收入","4-5萬元以下","5-6萬元以下"
1040112,"台北市中山區","都會核心",4,2,.78120342,.83025445,"0603","卷二",2012,101,15aug2012,"21","01","男",70,"沒有宗教信仰","台北市中山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","維持現狀,以後走向統一","3-4萬元以下","跳答,不適用","7-8萬元以下"
1040117,"台北市中山區","都會核心",4,2,.78120342,.91628902,"0603","卷二",2012,101,14aug2012,"19","53","男",75,"沒有宗教信仰","台北市士林區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","碩士(續答b2)","馬英九","宋楚瑜(跳答f8)","都差不多","都是","維持現狀,以後走向獨立","沒有工作","跳答,不適用","4-5萬元以下"
1040119,"台北市中山區","都會核心",4,2,.78120342,1.1141374,"0603","卷二",2012,101,24jul2012,"20","57","女",42,"民間信仰","南投縣水里鄉","南投縣(跳答a7i)","已婚有偶(續答a11)","高職(續答b2)","馬英九","蔡英文(續答f7)","民進黨","台灣人","永遠維持現狀","沒有工作","沒有工作","4-5萬元以下"
1040120,"台北市中山區","都會核心",4,2,.78120342,1.0583607,"0603","卷二",2012,101,22aug2012,"23","16","男",71,"民間信仰","台東縣鹿野鄉","台東縣(跳答a7q)","單身且從沒結過婚(跳答a15)","高職(續答b2)","沒有去投票","沒有去投票(跳答f8)","都差不多","台灣人","維持現狀,以後走向獨立","3-4萬元以下","跳答,不適用","3-4萬元以下"
1040121,"台北市中山區","都會核心",4,2,.78120342,.83025445,"0603","卷二",2012,101,23aug2012,"20","08","男",70,"沒有宗教信仰","台北市中山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","沒有去投票","馬英九(跳答f8)","都差不多","台灣人","維持現狀,以後走向獨立","3-4萬元以下","跳答,不適用","19-20萬元以下"
1040122,"台北市中山區","都會核心",4,2,.78120342,.91628902,"0603","卷二",2012,101,14sep2012,"21","14","男",79,"民間信仰","台北市中山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","技術學院,科大(續答b2)","沒有投票權","蔡英文(續答f7)","民進黨","都是","維持現狀,以後走向獨立","沒有工作","跳答,不適用","19-20萬元以下"
