id,zip,stratum2,psu,ssu,wsel,wr,wave,qtype,year,year_m,sdate,stime,gender,birth_year,birth_place,birth_place_code,religion,edu,marriage,taiwanese_or_chinese,taiwan_indep,pre_ele_97,pre_ele_101,legi_ele_101,political_party,month_income,mothe_house_income
1000502,"台北市中正區","都會核心",3,1,.7330467653,.9256263278,"0604","卷二",2013,102,31 Oct 13,"1655","男性",77,"台北市","台北市中正區","","高職","單身且從沒結過婚(跳答30)","兩者都是","永遠維持現狀","當時未滿20歲","有,馬英九","國民黨","跳答","2-3萬元以下","不知道"
1000504,"台北市中正區","都會核心",3,1,.7330467653,.8982392116,"0604","卷二",2013,102,29 Sep 13,"2040","女性",73,"台北市","台北市中正區","","大學","單身且從沒結過婚(跳答30)","台灣人","永遠維持現狀","有,謝長廷","有,宋楚瑜","民進黨","泛綠","2-3萬元以下","30-40萬元以下"
1000514,"台北市中正區","都會核心",3,1,.7330467653,.7974696973,"0604","卷二",2013,102,26 Sep 13,"2050","男性",38,"雲林縣","雲林縣斗南鎮","","小學","離婚(跳答30)","台灣人","維持現狀,以後走向獨立","有,馬英九","有,馬英九","民進黨","都沒有/都支持","2-3萬元以下","6-7萬元以下"
1000515,"台北市中正區","都會核心",3,1,.7330467653,.9256263278,"0604","卷二",2013,102,03 Oct 13,"1114","男性",74,"台北市","台北市中正區","","高職","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","有,謝長廷","有,蔡英文","民進黨","跳答","2-3萬元以下","8-9萬元以下"
1000516,"台北市中正區","都會核心",3,1,.7330467653,.8373314172,"0604","卷二",2013,102,15 Oct 13,"1931","男性",69,"桃園縣","桃園縣桃園市","","碩士","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","沒有去投票","有,馬英九","國民黨","都沒有/都支持","5-6萬元以下","9-10萬元以下"
1000519,"台北市中正區","都會核心",3,1,.7330467653,.9633857383,"0604","卷二",2013,102,12 Oct 13,"1049","女性",60,"新竹市","新竹市","","大學","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","有,謝長廷","有,蔡英文","不知道/忘記了","跳答","6-7萬元以下","20-30萬元以下"
1000520,"台北市中正區","都會核心",3,1,.7330467653,.8985946038,"0604","卷二",2013,102,01 Oct 13,"1537","女性",67,"台北市","台北市中正區","","碩士","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","不知道/忘記了","都沒有/都支持","無收入","不知道"
1000525,"台北市中正區","都會核心",3,1,.7330467653,.9633857383,"0604","卷二",2013,102,06 Oct 13,"1357","女性",58,"苗栗縣","苗栗縣卓蘭鎮","","二專","單身且從沒結過婚(跳答30)","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","不知道/忘記了","國民黨","3-4萬元以下","6-7萬元以下"
1000526,"台北市中正區","都會核心",3,1,.7330467653,.8465417806,"0604","卷二",2013,102,13 Oct 13,"1346","男性",50,"雲林縣","雲林縣西螺鎮","","高職","已婚且與配偶同住","台灣人","無法決定","有,馬英九","有,馬英九","民進黨","都沒有/都支持","2-3萬元以下","4-5萬元以下"
1000527,"台北市中正區","都會核心",3,1,.7330467653,.9874413439,"0604","卷二",2013,102,30 Nov 13,"1727","女性",40,"台北市","台北市中正區","","高中職業科","配偶去世","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","不知道/忘記了","都沒有/都支持","1-2萬元以下","不知道"
