id,zip,stratum2,region,stratum2014,region2014,r_stratum2014,psu,ssu,wsel0,wsel,wr_19_4,wr_19_5,wave,qtype,year,year_m,sd,sh,sm,gender,birth_year,birth_place,birth_place_code,before15_place,before15_place_code,religion,edu,marriage,taiwanese_or_chinese,taiwan_indep,political_party,social_class,pre_ele_101,pre_ele_97,month_income,mothe_house_income
100102,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,1.2026001,1.1685319,"0605","卷一",2014,103,19 Sep 14,10,9,"男性",57,"苗栗縣","苗栗縣苑裡鎮","臺北市","台北市大安區","沒有宗教信仰","大學","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","泛綠","07","有,投給蔡英文","有","14-15萬元以下","20-30萬元以下"
100107,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,1.0021705,1.0102603,"0605","卷一",2014,103,24 Aug 14,18,34,"女性",76,"嘉義市","嘉義市","嘉義市","嘉義市","沒有宗教信仰","碩士","單身且從沒結過婚(跳答b8)","台灣人","永遠維持現狀","無黨籍(跳答h7)","06","沒有去投票","沒有","3-4萬元以下","30-40萬元以下"
100111,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,1.0271106,.99359914,"0605","卷一",2014,103,15 Oct 14,20,45,"男性",51,"宜蘭縣","宜蘭縣員山鄉","新北市","新北市中和區","佛教,有皈依","技術學院,科大","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","國民黨(跳答h7)","07","有,投給馬英九","沒有","4-5萬元以下","8-9萬元以下"
100112,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,.97924591,.95557672,"0605","卷一",2014,103,19 Oct 14,9,18,"男性",80,"雲林縣","雲林縣林內鄉","臺北市","台北市中正區","佛教,未皈依","大學","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","04","沒有去投票","當時未滿20歲","2-3萬元以下","不知道"
100115,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,.97896133,.98596993,"0605","卷一",2014,103,05 Aug 14,18,31,"女性",41,"臺北市","台北市中正區","臺北市","台北市中正區","沒有宗教信仰","大學","單身且從沒結過婚(跳答b8)","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","06","有,投給馬英九","沒有","3-4萬元以下","7-8萬元以下"
100119,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,1.0511557,1.0504585,"0605","卷一",2014,103,20 Oct 14,15,2,"女性",51,"其他","馬來西亞","其他","馬來西亞","沒有宗教信仰","大學","已婚且與配偶同住","台灣人","儘快獨立","都沒有___都支持","07","有,投給馬英九","有","3-4萬元以下","16-17萬元以下"
100120,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,1.0331034,1.358568,"0605","卷一",2014,103,16 Oct 14,14,58,"女性",20,"屏東縣","屏東縣潮州鎮","屏東縣","屏東縣潮州鎮","民間信仰","小學","配偶去世","台灣人","維持現狀,看情形再決定獨立或統一","民進黨(跳答h7)","無法選擇","有,投給馬英九","忘記有沒有領公投票","1-2萬元以下","1-2萬元以下"
100125,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,1.0271106,.99359914,"0605","卷一",2014,103,06 Aug 14,19,49,"男性",47,"臺北市","台北市中正區","臺北市","台北市大安區","佛教,有皈依","五專","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,以後走向統一","泛藍","04","有,投給馬英九","有","8-9萬元以下","8-9萬元以下"
100130,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,1.0902374,1.0644274,"0605","卷一",2014,103,27 Aug 14,11,19,"男性",63,"臺北市","台北市中正區","臺北市","台北市中山區","沒有宗教信仰","碩士","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","泛綠","08","沒有去投票","沒有","16-17萬元以下","20-30萬元以下"
100131,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,.97896133,.98596993,"0605","卷一",2014,103,24 Aug 14,12,34,"女性",38,"宜蘭縣","宜蘭縣羅東鎮","臺北市","台北市大安區","沒有宗教信仰","三專","配偶去世","台灣人","永遠維持現狀","都沒有___都支持","06","沒有去投票","沒有去投票","1萬元以下","1萬元以下"
